658, greninja, 15, 400, water, dark
541, swadloon, 5, 73, bug, grass
690, skrelp, 5, 73, poison, water
71, victreebel, 17, 155, grass, poison
226, mantine, 21, 2200, water, flying
172, pichu, 3, 20, electric, 
779, bruxish, 9, 190, water, psychic
451, skorupi, 8, 120, poison, bug
624, pawniard, 5, 102, dark, steel
703, carbink, 3, 57, rock, fairy
797, celesteela, 92, 9999, steel, flying
220, swinub, 4, 65, ice, ground
80, slowbro, 16, 785, water, psychic
760, bewear, 21, 1350, normal, fighting
178, xatu, 15, 150, psychic, flying
243, raikou, 19, 1780, electric, 
204, pineco, 6, 72, bug, 
55, golduck, 17, 766, water, 
195, quagsire, 14, 750, water, ground
767, wimpod, 5, 120, bug, water
692, clauncher, 5, 83, water, 
81, magnemite, 3, 60, electric, steel
89, muk, 12, 300, poison, 
618, stunfisk, 7, 110, ground, electric
348, armaldo, 15, 682, rock, bug
368, gorebyss, 18, 226, water, 
607, litwick, 3, 31, ghost, fire
4, charmander, 6, 85, fire, 
631, heatmor, 14, 580, fire, 
676, furfrou, 12, 280, normal, 
323, camerupt, 19, 2200, fire, ground
436, bronzor, 5, 605, steel, psychic
485, heatran, 17, 4300, fire, steel
228, houndour, 6, 108, dark, fire
317, swalot, 17, 800, poison, 
